trial_num,param:seq_size,method,F1,precision,recall,runtime
13,10000.0,secret,1.0,1.0,1.0,10.316129644711813
13,10000.0,cossu,0.001,0.001,0.001,na
13,10000.0,squish,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
13,10000.0,sqs,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
13,10000.0,poerma,0.8571428571428571,1.0,0.75,na
13,10000.0,tns,0.7226138828633405,0.8134920634920635,0.65,na
13,10000.0,sqsrules_splitall,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
13,10000.0,sqsrules_splitgreedy,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
13,10000.0,sqsrules_greedywoalph,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
13,10000.0,sqsrules_filter,-0.01,-0.01,-0.01,na
13,10000.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
12,10000.0,secret,1.0,1.0,1.0,9.735159814357758
12,10000.0,cossu,0.001,0.001,0.001,na
12,10000.0,squish,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
12,10000.0,sqs,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
12,10000.0,poerma,0.8235294117647058,1.0,0.7,na
12,10000.0,tns,0.5832891126380478,0.5849206349206348,0.5816666666666667,na
12,10000.0,sqsrules_splitall,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
12,10000.0,sqsrules_splitgreedy,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
12,10000.0,sqsrules_greedywoalph,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
12,10000.0,sqsrules_filter,-0.01,-0.01,-0.01,na
12,10000.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
9,5000.0,secret,0.975609756097561,0.9523809523809523,1.0,1.8648316025733949
9,5000.0,cossu,0.001,0.001,0.001,na
9,5000.0,squish,0.6126126126126126,0.6666666666666665,0.5666666666666665,na
9,5000.0,sqs,0.6126126126126126,0.6666666666666665,0.5666666666666665,na
9,5000.0,poerma,0.001,0.001,0.001,na
9,5000.0,tns,0.5509575923392613,0.7103174603174602,0.45,na
9,5000.0,sqsrules_splitall,0.6126126126126126,0.6666666666666665,0.5666666666666665,na
9,5000.0,sqsrules_splitgreedy,0.6126126126126126,0.6666666666666665,0.5666666666666665,na
9,5000.0,sqsrules_greedywoalph,0.6126126126126126,0.6666666666666665,0.5666666666666665,na
9,5000.0,sqsrules_filter,-0.01,-0.01,-0.01,na
9,5000.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
0,10000.0,secret,1.0,1.0,1.0,10.209234694639841
0,10000.0,cossu,0.001,0.001,0.001,na
0,10000.0,squish,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
0,10000.0,sqs,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
0,10000.0,poerma,0.8571428571428571,1.0,0.75,na
0,10000.0,tns,0.607525486762019,0.6626984126984125,0.5608333333333333,na
0,10000.0,sqsrules_splitall,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
0,10000.0,sqsrules_splitgreedy,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
0,10000.0,sqsrules_greedywoalph,0.6666666666666664,0.6666666666666664,0.6666666666666664,na
