trial_num,param:num_rules,method,F1,precision,recall,runtime
5,50.0,secret,-0.01,-0.01,-0.01,51.71019318501155
5,50.0,cossu,-0.01,-0.01,-0.01,na
5,50.0,squish,-0.01,-0.01,-0.01,na
5,50.0,sqs,-0.01,-0.01,-0.01,na
5,50.0,poerma,0.13230043597993288,0.07199321458863449,0.8150555555555556,na
5,50.0,tns,0.5590444677651208,0.5868892001244941,0.5337222222222224,na
5,50.0,sqsrules_splitall,0.5779109589041096,0.439453125,0.84375,na
5,50.0,sqsrules_splitgreedy,0.8201792533947688,0.7999588200059897,0.8414484126984126,na
5,50.0,sqsrules_greedywoalph,0.5462977457733251,0.6875,0.45321428571428585,na
5,50.0,sqsrules_filter,-0.01,-0.01,-0.01,na
5,50.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
19,10.0,secret,-0.01,-0.01,-0.01,33.8384241660436
19,10.0,cossu,-0.01,-0.01,-0.01,na
19,10.0,squish,0.5443548387096774,0.4017857142857143,0.84375,na
19,10.0,sqs,-0.01,-0.01,-0.01,na
19,10.0,poerma,0.11538305552175852,0.061982570806100215,0.8333333333333334,na
19,10.0,tns,0.5490888262620441,0.5279220779220779,0.5720238095238096,na
19,10.0,sqsrules_splitall,0.4821428571428572,0.3375,0.84375,na
19,10.0,sqsrules_splitgreedy,0.7828282828282828,0.7175925925925926,0.861111111111111,na
19,10.0,sqsrules_greedywoalph,0.6572033898305085,0.6875,0.6294642857142857,na
19,10.0,sqsrules_filter,-0.01,-0.01,-0.01,na
19,10.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
7,50.0,secret,-0.01,-0.01,-0.01,55.01529115041097
7,50.0,cossu,-0.01,-0.01,-0.01,na
7,50.0,squish,0.5819494995450409,0.444140625,0.84375,na
7,50.0,sqs,-0.01,-0.01,-0.01,na
7,50.0,poerma,0.12523589852915978,0.0678144428503109,0.8171666666666666,na
7,50.0,tns,0.5694033246998602,0.58218954248366,0.5571666666666669,na
7,50.0,sqsrules_splitall,0.5739795918367347,0.43492268041237114,0.84375,na
7,50.0,sqsrules_splitgreedy,0.8117243728927853,0.7895515124288709,0.8351785714285714,na
7,50.0,sqsrules_greedywoalph,0.5462977457733251,0.6875,0.45321428571428585,na
7,50.0,sqsrules_filter,-0.01,-0.01,-0.01,na
7,50.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
13,20.0,secret,-0.01,-0.01,-0.01,33.801425556341805
13,20.0,cossu,-0.01,-0.01,-0.01,na
13,20.0,squish,-0.01,-0.01,-0.01,na
13,20.0,sqs,-0.01,-0.01,-0.01,na
13,20.0,poerma,0.12557077625570778,0.06790123456790124,0.8333333333333333,na
13,20.0,tns,0.551794173449878,0.5330498866213155,0.5719047619047619,na
13,20.0,sqsrules_splitall,0.5113636363636364,0.36684782608695654,0.84375,na
13,20.0,sqsrules_splitgreedy,0.8316395663956639,0.8118386243386243,0.8524305555555556,na
13,20.0,sqsrules_greedywoalph,0.6572033898305084,0.6875,0.6294642857142856,na
13,20.0,sqsrules_filter,-0.01,-0.01,-0.01,na
13,20.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
16,10.0,secret,-0.01,-0.01,-0.01,34.73349432547887
16,10.0,cossu,-0.01,-0.01,-0.01,na
16,10.0,squish,0.5625,0.421875,0.84375,na
16,10.0,sqs,-0.01,-0.01,-0.01,na
16,10.0,poerma,0.11067024545843544,0.05927083333333333,0.8333333333333334,na
16,10.0,tns,0.5503893601336282,0.5200216450216449,0.5845238095238096,na
16,10.0,sqsrules_splitall,0.4821428571428572,0.3375,0.84375,na
16,10.0,sqsrules_splitgreedy,0.7638888888888888,0.6757478632478632,0.8784722222222221,na
16,10.0,sqsrules_greedywoalph,0.6572033898305085,0.6875,0.6294642857142857,na
16,10.0,sqsrules_filter,-0.01,-0.01,-0.01,na
16,10.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
17,20.0,secret,-0.01,-0.01,-0.01,32.687354095776875
17,20.0,cossu,-0.01,-0.01,-0.01,na
17,20.0,squish,0.52734375,0.3835227272727273,0.84375,na
17,20.0,sqs,-0.01,-0.01,-0.01,na
17,20.0,poerma,0.12193377672888508,0.06577932098765432,0.8333333333333333,na
17,20.0,tns,0.5704557249347975,0.560997732426304,0.5802380952380952,na
17,20.0,sqsrules_splitall,0.5192307692307693,0.375,0.84375,na
17,20.0,sqsrules_splitgreedy,0.7907196969696969,0.7248263888888888,0.8697916666666666,na
17,20.0,sqsrules_greedywoalph,0.581334332833583,0.6875,0.5035714285714284,na
17,20.0,sqsrules_filter,-0.01,-0.01,-0.01,na
17,20.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
12,20.0,secret,-0.01,-0.01,-0.01,32.41849369208018
12,20.0,cossu,0.42068644740916233,0.30505291005290996,0.6774999999999998,na
12,20.0,squish,0.5720338983050848,0.4326923076923077,0.84375,na
12,20.0,sqs,0.52734375,0.3835227272727273,0.84375,na
12,20.0,poerma,0.14046795188663702,0.07669815564552407,0.8333333333333333,na
12,20.0,tns,0.570755086620124,0.565249433106576,0.5763690476190476,na
12,20.0,sqsrules_splitall,0.52734375,0.3835227272727273,0.84375,na
12,20.0,sqsrules_splitgreedy,0.7749368686868686,0.7103587962962963,0.8524305555555556,na
12,20.0,sqsrules_greedywoalph,0.6572033898305084,0.6875,0.6294642857142856,na
12,20.0,sqsrules_filter,-0.01,-0.01,-0.01,na
12,20.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
9,50.0,secret,0.8671428571428564,0.8671428571428561,0.8671428571428568,56.98137542804082
9,50.0,cossu,-0.01,-0.01,-0.01,na
9,50.0,squish,-0.01,-0.01,-0.01,na
9,50.0,sqs,0.590034965034965,0.4536290322580645,0.84375,na
9,50.0,poerma,0.13465985382893064,0.07326442721791564,0.8312222222222221,na
9,50.0,tns,0.5683438896362917,0.5631419234360407,0.5736428571428575,na
9,50.0,sqsrules_splitall,0.590034965034965,0.4536290322580645,0.84375,na
9,50.0,sqsrules_splitgreedy,0.8069407008086252,0.7637117346938774,0.8553571428571428,na
9,50.0,sqsrules_greedywoalph,0.5641943636085159,0.6875,0.4783928571428573,na
9,50.0,sqsrules_filter,-0.01,-0.01,-0.01,na
9,50.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
17,30.0,secret,0.929365079365079,0.9293650793650788,0.9293650793650791,43.621706346670784
17,30.0,cossu,-0.01,-0.01,-0.01,na
17,30.0,squish,0.5769667170953101,0.43836206896551727,0.84375,na
17,30.0,sqs,0.5443548387096774,0.4017857142857143,0.84375,na
17,30.0,poerma,0.1297268507951001,0.07033828382838288,0.8333333333333335,na
17,30.0,tns,0.5819640048153062,0.5848694316436249,0.5790873015873016,na
17,30.0,sqsrules_splitall,0.5443548387096774,0.4017857142857143,0.84375,na
