trial_num,param:seq_size,method,F1,precision,recall,runtime
19,5000.0,secret,0.99,0.99,0.99,3.8569074670473733
13,10000.0,secret,0.99,0.99,0.99,7.351537454128265
16,5000.0,secret,0.99,0.99,0.99,4.166455101966858
17,10000.0,secret,0.99,0.99,0.99,6.805108765761058
12,10000.0,secret,0.99,0.99,0.99,6.108073914051056
17,15000.0,secret,0.99,0.99,0.99,11.267075709501903
16,10000.0,secret,0.001,0.001,0.001,6.00301206111908
9,5000.0,secret,0.99,0.99,0.99,4.0959652741750086
15,15000.0,secret,0.99,0.99,0.99,8.640365227063496
9,15000.0,secret,0.99,0.99,0.99,10.58790219227473
13,15000.0,secret,0.99,0.99,0.99,10.497361501057943
14,15000.0,secret,0.99,0.99,0.99,10.134564832846324
0,10000.0,secret,0.99,0.99,0.99,8.91116516192754
17,5000.0,secret,0.99,0.99,0.99,3.7479256629943847
18,15000.0,secret,0.99,0.99,0.99,7.38828405936559
12,15000.0,secret,0.99,0.99,0.99,10.964579510688782
8,5000.0,secret,0.001,0.001,0.001,4.070363851388295
10,5000.0,secret,0.99,0.99,0.99,3.86987419128418
2,10000.0,secret,0.001,0.001,0.001,6.4598989923795065
16,15000.0,secret,0.001,0.001,0.001,10.768849245707194
10,15000.0,secret,0.99,0.99,0.99,8.382234640916188
8,10000.0,secret,0.001,0.001,0.001,8.75975470940272
12,5000.0,secret,0.001,0.001,0.001,3.910033078988393
4,15000.0,secret,0.99,0.99,0.99,10.630466997623444
19,10000.0,secret,0.001,0.001,0.001,8.622454897562664
18,10000.0,secret,0.99,0.99,0.99,8.724305208524068
1,10000.0,secret,0.99,0.99,0.99,9.031981281439464
10,10000.0,secret,0.99,0.99,0.99,9.295784382025401
3,5000.0,secret,0.99,0.99,0.99,4.015410017967224
5,10000.0,secret,0.99,0.99,0.99,8.643054179350536
1,15000.0,secret,0.99,0.99,0.99,11.722848773002625
7,5000.0,secret,0.99,0.99,0.99,4.030551290512085
19,15000.0,secret,0.99,0.99,0.99,8.881347231070201
4,5000.0,secret,0.99,0.99,0.99,3.980959951877594
11,10000.0,secret,0.99,0.99,0.99,8.7229589899381
7,15000.0,secret,0.99,0.99,0.99,10.634321002165477
0,15000.0,secret,0.99,0.99,0.99,11.12797869046529
11,5000.0,secret,0.99,0.99,0.99,3.9959674080212912
2,5000.0,secret,0.99,0.99,0.99,3.8711349685986836
0,5000.0,secret,0.99,0.99,0.99,3.9373775124549866
9,10000.0,secret,0.99,0.99,0.99,9.069248596827189
11,15000.0,secret,0.99,0.99,0.99,6.934048350652059
3,10000.0,secret,0.99,0.99,0.99,9.045379892985027
2,15000.0,secret,0.99,0.99,0.99,7.370405801137289
6,5000.0,secret,0.99,0.99,0.99,3.8010801394780476
18,5000.0,secret,0.99,0.99,0.99,3.2945395668347675
5,5000.0,secret,0.001,0.001,0.001,3.9922027905782063
14,10000.0,secret,0.99,0.99,0.99,8.735983296235402
15,5000.0,secret,0.99,0.99,0.99,4.054944761594137
4,10000.0,secret,0.001,0.001,0.001,8.709738858540852
7,10000.0,secret,0.99,0.99,0.99,8.5078884045283
5,15000.0,secret,0.99,0.99,0.99,11.07078161239624
14,5000.0,secret,0.99,0.99,0.99,3.7009177645047506
6,10000.0,secret,0.99,0.99,0.99,5.890498598416646
15,10000.0,secret,0.99,0.99,0.99,9.55974356730779
3,15000.0,secret,0.99,0.99,0.99,8.12688999970754
6,15000.0,secret,0.001,0.001,0.001,7.593720245361328
8,15000.0,secret,0.99,0.99,0.99,11.055086008707683
1,5000.0,secret,0.99,0.99,0.99,4.07448962132136
13,5000.0,secret,0.001,0.001,0.001,3.627829380830129
