x-,method-,F1-mean,F1-std,precision-mean,precision-std,recall-mean,recall-std
1,poerma,0.13467840171092738,0.020694621744453957,0.07343948877530486,0.012135641645486158,0.8305208333333335,0.009057909118146015
1,secret,0.9348536028353605,0.013149527921965044,0.9315592145949287,0.02337349472580089,0.9384543650793651,0.006749713047846485
1,sqs,0.5059869748777213,0.0116397167340228,0.3614506490214898,0.011951469471207916,0.84375,0.0
1,sqsrules_greedywoalph,0.6356814259642768,0.0339981832805787,0.6867240860990862,0.0014464028397817804,0.5941765873015872,0.055479213513288154
1,sqsrules_splitall,0.5064604597262062,0.012055134787041495,0.3617903229345333,0.012206749249511557,0.84453125,0.0034938562148434235
1,sqsrules_splitgreedy,0.8130466782515666,0.019183401112539633,0.7770468136612353,0.037399319382769594,0.853814484126984,0.011477512095219813
1,squish,0.5649944567627494,,0.4246875,,0.84375,
1,tns,0.5637635644410621,0.013922378882484113,0.5526899092970524,0.021517403265383456,0.575577380952381,0.008259837466075602
2,cossu,0.40686860198569497,0.006189853931471218,0.2959848427586523,0.005984161316249857,0.6508849206349204,0.012878318528458334
2,poerma,0.1113652662530779,0.010085349034739033,0.05972529918750226,0.005820575841506516,0.8305208333333335,0.009057909118146017
2,secret,0.9341807353022507,0.012308496180512373,0.9277629612451038,0.024322813626125494,0.9410218253968251,0.0018622498934084504
2,sqs,0.5412821851238381,0.012808714522439353,0.3985943367820494,0.01389646656120914,0.84375,0.0
2,sqsrules_greedywoalph,0.6300938452601934,0.038248793085251226,0.6872253787878788,0.0008463304213962187,0.584734623015873,0.06117544583165299
2,sqsrules_splitall,0.5412821851238381,0.012808714522439353,0.3985943367820494,0.01389646656120914,0.84375,0.0
2,sqsrules_splitgreedy,0.8180664621897437,0.019991813365713495,0.7923945442389736,0.04021199858636198,0.8467708333333335,0.007645614397118219
2,squish,0.5868057709720941,0.017093923012098656,0.4504415380413188,0.02026723120444291,0.8426785714285714,0.004791574237499583
2,tns,0.5655294459268967,0.00880213979431711,0.5554969765684054,0.014801363129390888,0.576108134920635,0.005784761447410574
3,cossu,0.42801567041506106,0.014275630675655413,0.3234832041843537,0.014903835264928205,0.6333075396825395,0.017993075518993103
3,poerma,0.09989031306154308,0.007518495689760706,0.05316560989691167,0.004276408549927827,0.8294583333333335,0.009916285805256954
3,secret,0.9178192580027549,0.013465607146696517,0.912759783206212,0.021022837977639718,0.9232242063492062,0.01346000217229574
3,sqs,0.5867375381912222,0.013390280699564227,0.4499243821612243,0.01572980835777538,0.84375,0.0
3,sqsrules_greedywoalph,0.6190147527417771,0.05669051400232917,0.6872123015873015,0.0008855170300735072,0.5689980158730158,0.08243962480471839
3,sqsrules_splitall,0.5867375381912222,0.013390280699564227,0.4499243821612243,0.01572980835777538,0.84375,0.0
3,sqsrules_splitgreedy,0.840877754387663,0.01011640978383271,0.8370727362914863,0.019623168178053447,0.8449652777777779,0.003906503809168262
3,squish,0.6196018918153585,0.020360014031938555,0.49041854553607944,0.025949894320153863,0.8426785714285714,0.004791574237499584
3,tns,0.5611386948818311,0.017189378278068074,0.5579119425547999,0.018355230409488006,0.5654742063492064,0.0285777340780662
4,cossu,0.5265299923826962,0.02896789729683169,0.5109236687071012,0.048444379903985015,0.5513452380952382,0.0597816892255261
4,poerma,0.12589729157287957,0.048888835040857274,0.09949533455773886,0.1238933379429879,0.7638829365079365,0.19800786855183405
4,secret,0.7697964714341019,0.013640014226002431,0.7618846629560913,0.024373592947827764,0.7782738095238095,0.00802671686021899
4,sqs,0.682687950180072,0.011374412289688824,0.573431789289687,0.016031358395652666,0.84375,0.0
4,sqsrules_greedywoalph,0.5867931081099736,0.06529197760256672,0.6875,0.0,0.5193080357142855,0.09551758258039132
4,sqsrules_splitall,0.682687950180072,0.011374412289688824,0.573431789289687,0.016031358395652666,0.84375,0.0
4,sqsrules_splitgreedy,0.8430060641599818,0.003326982218357966,0.8433388157894737,0.0018388716920228572,0.8426785714285714,0.004791574237499581
4,squish,0.714175195633295,0.02207321913482131,0.6198188234179615,0.0333767172903737,0.84375,0.0
4,tns,0.5479447019624037,0.03512783299202182,0.5705413832199546,0.027298119507658196,0.5321835317460318,0.06190660726094883
5,cossu,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,secret,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,sqs,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,sqsrules_filter,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,sqsrules_greedywoalph,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,sqsrules_splitall,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,sqsrules_splitgreedy,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,squish,0.0010000000000000005,0.0,0.0010000000000000005,0.0,0.0010000000000000005,0.0
5,tns,0.05970158360858122,0.023830141027802627,0.05686696900982615,0.021409580090477918,0.06432539682539683,0.028318570659887007
