trial_num,param:noise,method,F1,precision,recall,runtime
5,1.0,secret,0.001,0.001,0.001,12.104669066270192
5,1.0,cossu,0.001,0.001,0.001,na
5,1.0,squish,0.001,0.001,0.001,na
5,1.0,sqs,0.001,0.001,0.001,na
5,1.0,poerma,-0.01,-0.01,-0.01,na
5,1.0,tns,0.060197220574222894,0.053042328042328044,0.06958333333333333,na
5,1.0,sqsrules_splitall,0.001,0.001,0.001,na
5,1.0,sqsrules_splitgreedy,0.001,0.001,0.001,na
5,1.0,sqsrules_greedywoalph,0.001,0.001,0.001,na
5,1.0,sqsrules_filter,0.001,0.001,0.001,na
5,1.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
19,0.2,secret,0.9404761904761904,0.9404761904761904,0.9404761904761905,33.84240790208181
19,0.2,cossu,-0.01,-0.01,-0.01,na
19,0.2,squish,-0.01,-0.01,-0.01,na
19,0.2,sqs,0.5113636363636364,0.36684782608695654,0.84375,na
19,0.2,poerma,0.14936549223614726,0.08203463203463204,0.8333333333333333,na
19,0.2,tns,0.5704557249347975,0.560997732426304,0.5802380952380952,na
19,0.2,sqsrules_splitall,0.5113636363636364,0.36684782608695654,0.84375,na
19,0.2,sqsrules_splitgreedy,0.7848837209302325,0.7336956521739131,0.84375,na
19,0.2,sqsrules_greedywoalph,0.6560060089497081,0.6848845598845599,0.6294642857142856,na
19,0.2,sqsrules_filter,-0.01,-0.01,-0.01,na
19,0.2,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
7,1.0,secret,0.001,0.001,0.001,12.371798888842266
7,1.0,cossu,0.001,0.001,0.001,na
7,1.0,squish,0.001,0.001,0.001,na
7,1.0,sqs,0.001,0.001,0.001,na
7,1.0,poerma,-0.01,-0.01,-0.01,na
7,1.0,tns,0.09365223715111731,0.08656462585034014,0.10200396825396826,na
7,1.0,sqsrules_splitall,0.001,0.001,0.001,na
7,1.0,sqsrules_splitgreedy,0.001,0.001,0.001,na
7,1.0,sqsrules_greedywoalph,0.001,0.001,0.001,na
7,1.0,sqsrules_filter,0.001,0.001,0.001,na
7,1.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
