trial_num,param:rule_conf,method,F1,precision,recall,runtime
5,0.8999999999999999,secret,0.8288605561138114,0.7954184704184706,0.8652380952380951,35.27758416334788
5,0.8999999999999999,cossu,-0.01,-0.01,-0.01,na
5,0.8999999999999999,squish,0.5216223132036848,0.3775,0.84375,na
5,0.8999999999999999,sqs,0.5113636363636364,0.36684782608695654,0.84375,na
5,0.8999999999999999,poerma,0.16210306141852066,0.08978409689310164,0.8333333333333333,na
5,0.8999999999999999,tns,0.516397186533312,0.5167233560090706,0.5160714285714285,na
5,0.8999999999999999,sqsrules_splitall,0.5113636363636364,0.36684782608695654,0.84375,na
5,0.8999999999999999,sqsrules_splitgreedy,0.8010335917312662,0.748792270531401,0.861111111111111,na
5,0.8999999999999999,sqsrules_greedywoalph,0.6572033898305084,0.6875,0.6294642857142856,na
5,0.8999999999999999,sqsrules_filter,-0.01,-0.01,-0.01,na
5,0.8999999999999999,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
19,0.1,secret,0.9142479213907785,0.8726911976911975,0.9599603174603175,12.676927550633748
19,0.1,cossu,0.6084142394822007,0.6666666666666667,0.5595238095238095,na
19,0.1,squish,0.84375,0.84375,0.84375,na
19,0.1,sqs,0.8231707317073171,0.8035714285714286,0.84375,na
19,0.1,poerma,-0.01,-0.01,-0.01,na
19,0.1,tns,0.5406542382348833,0.5230158730158728,0.5595238095238095,na
19,0.1,sqsrules_splitall,0.8231707317073171,0.8035714285714286,0.84375,na
19,0.1,sqsrules_splitgreedy,0.975609756097561,0.9523809523809523,1.0,na
19,0.1,sqsrules_greedywoalph,0.8187711864406779,0.8828125,0.7633928571428572,na
19,0.1,sqsrules_filter,-0.01,-0.01,-0.01,na
19,0.1,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
7,0.8999999999999999,secret,0.7937199937532338,0.7889077853363569,0.7985912698412698,32.36922418276469
7,0.8999999999999999,cossu,-0.01,-0.01,-0.01,na
7,0.8999999999999999,squish,-0.01,-0.01,-0.01,na
7,0.8999999999999999,sqs,0.4963235294117647,0.3515625,0.84375,na
7,0.8999999999999999,poerma,0.153311908396874,0.08485985985985986,0.7929166666666665,na
7,0.8999999999999999,tns,0.47430069705771194,0.524433106575964,0.4329166666666667,na
7,0.8999999999999999,sqsrules_splitall,0.5055147058823529,0.3580729166666667,0.859375,na
7,0.8999999999999999,sqsrules_splitgreedy,0.7833200300928472,0.7248263888888888,0.8520833333333332,na
7,0.8999999999999999,sqsrules_greedywoalph,0.6475100777837371,0.6822691197691199,0.6161210317460317,na
7,0.8999999999999999,sqsrules_filter,-0.01,-0.01,-0.01,na
7,0.8999999999999999,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
13,0.30000000000000004,secret,0.9404761904761904,0.9404761904761904,0.9404761904761905,17.66854356924693
13,0.30000000000000004,cossu,0.46855345911949675,0.37626262626262613,0.6208333333333331,na
13,0.30000000000000004,squish,-0.01,-0.01,-0.01,na
13,0.30000000000000004,sqs,0.6490384615384616,0.52734375,0.84375,na
13,0.30000000000000004,poerma,0.00917955599044745,0.004615197272284462,0.8333333333333333,na
13,0.30000000000000004,tns,0.577412552513489,0.5742063492063495,0.5806547619047618,na
13,0.30000000000000004,sqsrules_splitall,0.6490384615384616,0.52734375,0.84375,na
13,0.30000000000000004,sqsrules_splitgreedy,0.984375,0.984375,0.984375,na
13,0.30000000000000004,sqsrules_greedywoalph,0.6572033898305084,0.6875,0.6294642857142856,na
13,0.30000000000000004,sqsrules_filter,-0.01,-0.01,-0.01,na
13,0.30000000000000004,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
16,0.1,secret,0.8771317829457366,0.8199275362318841,0.9429166666666667,11.99961539109548
16,0.1,cossu,0.6084142394822007,0.6666666666666667,0.5595238095238095,na
16,0.1,squish,0.84375,0.84375,0.84375,na
16,0.1,sqs,0.840625,0.840625,0.840625,na
16,0.1,poerma,-0.01,-0.01,-0.01,na
16,0.1,tns,0.5465305135116456,0.534126984126984,0.5595238095238095,na
16,0.1,sqsrules_splitall,0.840625,0.840625,0.840625,na
16,0.1,sqsrules_splitgreedy,0.98125,0.98125,0.98125,na
16,0.1,sqsrules_greedywoalph,0.8375779990184392,0.8519736842105263,0.8236607142857142,na
16,0.1,sqsrules_filter,-0.01,-0.01,-0.01,na
16,0.1,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
17,0.30000000000000004,secret,0.9404761904761904,0.9404761904761904,0.9404761904761905,16.597118548552196
17,0.30000000000000004,cossu,0.5007899426514845,0.4224958949096879,0.6147023809523808,na
17,0.30000000000000004,squish,0.6887755102040816,0.5818965517241379,0.84375,na
17,0.30000000000000004,sqs,0.6367924528301887,0.5113636363636364,0.84375,na
17,0.30000000000000004,poerma,0.009895933090723362,0.004977520873474631,0.8333333333333333,na
17,0.30000000000000004,tns,0.5816239464998588,0.5825963718820864,0.5806547619047618,na
17,0.30000000000000004,sqsrules_splitall,0.6367924528301887,0.5113636363636364,0.84375,na
