x-,method-,F1-mean,F1-std,precision-mean,precision-std,recall-mean,recall-std
1,cossu,0.7432389766087245,0.0286107472198934,0.7615144939160998,0.01794109309683236,0.7262916666666663,0.03940574196738338
1,poerma,0.7583972723003083,0.08551693601610261,0.7232429492879735,0.12579158083862035,0.8143333333333335,0.031041379664280215
1,secret,0.8313759692147202,0.012532716317445748,0.8665059808612445,0.021270605735394372,0.7991666666666669,0.007816190648731016
1,sqs,0.6902654867256641,0.0,0.6000000000000001,0.0,0.8125,0.0
1,sqsrules_greedywoalph,0.8465517666764034,0.01718154345562764,0.8997368421052634,0.00117687788289463,0.7998125,0.029633937137396368
1,sqsrules_splitall,0.6902654867256641,0.0,0.6000000000000001,0.0,0.8125,0.0
1,sqsrules_splitgreedy,0.8520886137456329,0.004904174090931965,0.897570175438597,0.006682690806655607,0.8109999999999999,0.003663475485325242
1,squish,0.716890161611498,0.006903540429341227,0.64290462623796,0.009600819610883384,0.8101923076923078,0.004385290096535147
1,tns,0.7311471696554961,0.030897356083156486,0.7383730158730155,0.03225292375412943,0.7244583333333331,0.03418781437949468
2,poerma,0.12794659864606533,0.011668035540034007,0.06936281937732638,0.006834574908357251,0.8305208333333335,0.009057909118146017
2,secret,0.9352181634376222,0.01304443195070598,0.931692176870748,0.023641879247323378,0.9390664682539679,0.00605197067618927
2,sqs,0.528044017173847,0.012605616192166286,0.3844014550005853,0.013313635208586775,0.84375,0.0
2,sqsrules_greedywoalph,0.6383157452438135,0.02538388643430669,0.6872253787878788,0.000846330421396234,0.5973239087301586,0.04291331896754613
2,sqsrules_splitall,0.5285400489198786,0.013108485695458647,0.38476482709360854,0.013639814111657165,0.84453125,0.0034938562148434196
2,sqsrules_splitgreedy,0.8136391403427179,0.02226158024600037,0.7810501446269109,0.046589134620654435,0.8511111111111112,0.011048457307216944
2,squish,0.5808410850022848,0.02788557013396086,0.4436021042812402,0.03231670367797593,0.84375,0.0
2,tns,0.5651888471212521,0.010377315235594195,0.5539115646258506,0.015934933707642242,0.5771220238095238,0.007436283906662934
3,poerma,0.028918800701780045,0.005956406018621784,0.014741853177162395,0.0031792694125943274,0.8188880598568101,0.04861611397838802
3,secret,0.9344739199883879,0.02263270825577912,0.9226054551783308,0.04094925313125331,0.9476121829559332,0.012091148842762115
3,sqs,0.435634836045658,0.012279450786881935,0.2924764266316441,0.011106258807195174,0.8541666666666666,0.0
3,sqsrules_greedywoalph,0.5004262151198223,0.12468559927948585,0.7072872603794808,0.0016552622849670424,0.4058192501942502,0.143573048431411
3,sqsrules_splitall,0.44035846282165536,0.011693325614397716,0.29567336229787056,0.010628613766318537,0.8631879370629371,0.006793180327935525
3,sqsrules_splitgreedy,0.8260857060103689,0.024830746496475747,0.7829176390418979,0.04495595397689328,0.8759727078477081,0.013420662404415085
3,squish,0.42544115824807566,0.022483333446509754,0.2835944888291869,0.020408045857370948,0.8541666666666666,0.0
3,tns,0.5069713572359582,0.0126063028937181,0.4893578643578643,0.010967401273713002,0.5261729797979796,0.01858608620107098
