trial_num,param:rule_tail_size,method,F1,precision,recall,runtime
5,9.0,secret,0.8291707529693801,0.7334972045498364,0.953546365914787,131.08586075703303
5,9.0,cossu,-0.01,-0.01,-0.01,na
5,9.0,squish,0.35568584070796466,0.2240384615384616,0.8625,na
5,9.0,sqs,0.3618444846292948,0.22894736842105265,0.8625,na
5,9.0,poerma,0.002648215307982706,0.0013262198043637208,0.83140756302521,na
5,9.0,tns,0.46960861387456937,0.4458113315256173,0.49608974358974356,na
5,9.0,sqsrules_splitall,0.38691215181042815,0.2452488128215276,0.9160526315789473,na
5,9.0,sqsrules_splitgreedy,0.8604447164422686,0.8043287566742948,0.9249780701754385,na
5,9.0,sqsrules_greedywoalph,0.3214905037159373,0.725,0.20653846153846156,na
5,9.0,sqsrules_filter,-0.01,-0.01,-0.01,na
5,9.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
19,1.0,secret,0.8437915742793793,0.8850000000000003,0.80625,17.439971963564556
19,1.0,cossu,0.7635628839314578,0.7740740740740738,0.7533333333333332,na
19,1.0,squish,0.717791411042945,0.6428571428571431,0.8125,na
19,1.0,sqs,0.6902654867256639,0.6000000000000002,0.8125,na
19,1.0,poerma,0.801070192005036,0.7712121212121211,0.8333333333333333,na
19,1.0,tns,0.6832897767969488,0.6849206349206347,0.6816666666666665,na
19,1.0,sqsrules_splitall,0.6902654867256639,0.6000000000000002,0.8125,na
19,1.0,sqsrules_splitgreedy,0.8540145985401462,0.9000000000000004,0.8125,na
19,1.0,sqsrules_greedywoalph,0.8540145985401462,0.9000000000000004,0.8125,na
19,1.0,sqsrules_filter,-0.01,-0.01,-0.01,na
19,1.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
7,9.0,secret,0.8893454566649183,0.8313446660128585,0.9560463659147871,93.45499937534332
7,9.0,cossu,-0.01,-0.01,-0.01,na
7,9.0,squish,0.33024022146174725,0.20442429603420317,0.8588032581453634,na
7,9.0,sqs,0.34848484848484845,0.21835443037974683,0.8625,na
7,9.0,poerma,0.002361896362536684,0.0011826358393915548,0.8275560224089634,na
7,9.0,tns,0.4595705368312723,0.4299383156526014,0.4935897435897436,na
7,9.0,sqsrules_splitall,0.38272715511229877,0.2406808159639606,0.9339035087719297,na
7,9.0,sqsrules_splitgreedy,0.8889246926840915,0.8485190248348147,0.9333709273182957,na
7,9.0,sqsrules_greedywoalph,0.2550811022157098,0.7220081453634084,0.15490384615384617,na
7,9.0,sqsrules_filter,-0.01,-0.01,-0.01,na
7,9.0,sqsrules_greedyalph,-0.01,-0.01,-0.01,na
13,3.0,secret,0.9404761904761904,0.9404761904761904,0.9404761904761905,30.377855483690897
13,3.0,cossu,-0.01,-0.01,-0.01,na
13,3.0,squish,-0.01,-0.01,-0.01,na
13,3.0,sqs,0.5113636363636364,0.36684782608695654,0.84375,na
13,3.0,poerma,0.12557077625570778,0.06790123456790124,0.8333333333333333,na
13,3.0,tns,0.551794173449878,0.5330498866213155,0.5719047619047619,na
13,3.0,sqsrules_splitall,0.5113636363636364,0.36684782608695654,0.84375,na
13,3.0,sqsrules_splitgreedy,0.8316395663956639,0.8118386243386243,0.8524305555555556,na
13,3.0,sqsrules_greedywoalph,0.6572033898305084,0.6875,0.6294642857142856,na
13,3.0,sqsrules_filter,-0.01,-0.01,-0.01,na
